Item,Sector,RS
63,BTU,195.55847591406308
84,MRNA,111.77711707293223
2,ACH,64.9697759575613
65,BX,41.42224638750129
64,CCJ,38.65279473615378
139,ASML,28.557258419970992
145,HNP,25.541342038296914
5,HCC,24.103170877449035
17,SE,20.8638093600527
90,HCA,20.305622547719214
68,MS,17.434170216890287
85,DHR,16.7576829469971
98,CARR,16.64798424383149
19,GOOG,16.139611683186587
110,AQUA,15.958321867111755
73,URE,15.390468351992952
138,GRMN,15.026094202023621
101,TRI,14.69862450618977
103,JCI,14.495269726426423
74,JEF,12.57304121126293
81,MMC,12.104743213361495
14,MT,11.34594151669645
137,ACN,10.353863730645712
118,ODFL,10.27154532445645
93,ISRG,9.696790331487218
99,AVY,8.78939999829397
75,SPGI,8.524245825787755
124,WELL,7.35004979779114
142,MSFT,6.928861404117703
112,URI,6.53231522562465
126,PLD,6.411528439551112
130,SPG,6.366428310328716
87,ZTS,6.214562594138179
129,AVB,6.128236245289477
119,WM,6.069922261404439
123,MGP,5.723971022585371
131,AMT,5.602864238310423
132,CSCO,5.30119152248832
8,WFG,4.920542592214745
53,KR,4.696134163388451
30,DKNG,4.420290267286899
20,RELX,4.135017176149948
105,FERG,3.733649817600784
148,AWK,3.637771977130746
42,ORLY,3.555226743914039
113,ALLE,3.2837920161826664
56,PM,3.064260184827555
24,KMX,2.813669741207578
70,BTO,2.4020509862599266
28,NKE,2.388322700881661
71,EXG,1.912925298895103
16,FWONA,1.8615838008996164
1,NTR,1.7570864071969412
109,VMI,1.5821749876611693
134,AAPL,1.5338377736722646
62,MPC,1.2696859310442064
58,COP,1.2416325216891078
25,TSLA,0.9226995287018579
13,LIN,0.7717360833308514
135,TEL,0.3336995974437871
78,CB,0.13943293251055894
80,FNF,0.1223734444248272
47,DEO,0.10062315062776979
104,DE,-0.2635977980558215
147,CNP,-0.42449426762034653
6,FCX,-0.5548334325163985
0,SP500,-0.5648318417846515
61,ENB,-0.5897561955472921
15,WPP,-0.7140367069240477
66,JPM,-0.9049137624844481
31,HD,-0.9068042581213359
3,CRH,-0.9926483471340036
133,DELL,-1.150614094479686
91,ABT,-1.908826733915263
146,NEE,-2.244028996978686
92,MCK,-2.468778275202305
27,KSS,-2.5331632570231024
76,BRK-B,-2.945253163756021
116,ADP,-2.966401864990766
35,TPR,-3.28586452983297
140,TSM,-3.4458399262913773
89,UNH,-3.4619620486368774
141,CRM,-3.5580551916828482
136,ARW,-3.6489669520650017
18,DIS,-4.314751443604072
39,DHI,-5.169985905926038
107,UPS,-5.335992986416393
41,MCD,-5.423024483622228
36,BLL,-5.573265402633953
32,AMZN,-5.7990748291312215
60,XOM,-5.828598639491984
44,BKNG,-5.8499275210815185
51,ADM,-5.990933378058371
128,DLR,-6.094692920706294
26,APTV,-6.26313485256399
54,PG,-6.421598798703545
37,ROL,-6.430642606005149
79,RE,-6.652082185325252
46,KO,-6.872930092830884
88,VEEV,-6.980305531834265
94,WBA,-7.000090850605524
67,HDB,-7.4793784365027385
23,TJX,-7.570044824318186
59,SLB,-7.734579614406073
86,JNJ,-7.87551271388512
122,CSGP,-8.023301124145425
125,HST,-8.075882114239823
57,HP,-8.077112453520273
72,V,-8.677999896065627
49,WMT,-9.023189453470144
29,WHR,-9.043549214884477
34,MAR,-9.306510590912263
9,BBL,-9.682061560303687
48,MDLZ,-9.756935690606197
11,SUZ,-10.024093784701613
52,SYY,-10.123148107981226
144,D,-10.286374526154244
143,ENPH,-10.287458129343188
127,NLY,-10.526477467252295
38,PII,-10.595164184491804
69,PCI,-10.946972078744533
43,AIN,-11.464166804062902
121,HHC,-12.363705455521739
55,KHC,-12.644446161694647
117,SWK,-13.218232857010406
95,BA,-14.683182976579756
33,PTON,-15.131742918743434
4,APD,-15.419878084325664
21,VZ,-15.950076102745548
120,FOR,-16.695438755043433
100,IEP,-17.41167121818491
149,BEPC,-17.948934931413973
50,CHGG,-18.47542433030535
7,NEM,-18.52325345362307
22,VFC,-21.952577270480454
45,BUD,-22.85952962087639
114,GPN,-22.99235773116731
106,ACA,-23.14045491105043
77,LFC,-27.06867484840949
82,RKT,-27.111802587738275
12,PAAS,-28.03599230100215
83,PSTH,-28.312203783249863
40,LVS,-31.057951933962773
102,PLUG,-34.384150665149264
10,BVN,-39.96331892593258
96,LUV,
97,JOBY,
108,ZIM,
111,UNP,
115,HON,
